DocType: Accounting Period,Period Name,期间名称
apps/erpnext/erpnext/stock/doctype/item/item.py +493,Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,物料税项行{0}对应的科目其类型须为税项，收入或费用。
DocType: Sales Order,Partly Billed,部分开票
apps/erpnext/erpnext/assets/doctype/asset/asset.py +54,Item {0} must be a Fixed Asset Item,物料{0}必须被定义为是固定资产
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py +283,HSN,HSN
apps/erpnext/erpnext/stock/doctype/item/item.js +403,Make Variants,创建实物料号
DocType: Item,Default BOM,默认的BOM
DocType: Project,Total Billed Amount (via Sales Invoices),总已开票金额（通过销售发票）
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html +131,Debit Note Amount,扣款金额
DocType: Project Update,Not Updated,未更新
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py +107,"There are inconsistencies between the rate, no of shares and the amount calculated",单价，股份数量和计算的金额之间不一致
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py +39,You are not present all day(s) between compensatory leave request days,您在补休请求日之间不是全天
apps/erpnext/erpnext/setup/doctype/company/company.js +109,Please re-type company name to confirm,请确认重新输入公司名称
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html +234,Total Outstanding Amt,总未付金额
DocType: Journal Entry,Printing Settings,打印设置
DocType: Employee Advance,Advance Account,预支科目
DocType: Job Offer,Job Offer Terms,招聘条款
DocType: Sales Invoice,Include Payment (POS),直接付款（POS订单）
DocType: Shopify Settings,eg: frappe.myshopify.com,例如：frappe.myshopify.com
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +324,Total Debit must be equal to Total Credit. The difference is {0},总借方必须等于总贷方金额，差异{0}。
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +11,Automotive,汽车
DocType: Vehicle,Insurance Company,保险公司
DocType: Asset Category Account,Fixed Asset Account,固定资产科目
DocType: Salary Structure Assignment,Variable,浮动工资
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.js +47,From Delivery Note,源销售出货单
DocType: Chapter,Members,会员
DocType: Student,Student Email Address,电子邮箱
DocType: Item,Hub Warehouse,Hub仓库
DocType: Cashier Closing,From Time,开始时间
DocType: Hotel Settings,Hotel Settings,酒店设置
apps/erpnext/erpnext/public/js/pos/pos_bill_item.html +12,In Stock: ,有现货
DocType: Notification Control,Custom Message,自定义消息
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +33,Investment Banking,投资银行业务
DocType: Purchase Invoice,input,输入
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +103,Cash or Bank Account is mandatory for making payment entry,“现金”或“银行账户”是付款分录的必须项
DocType: Loyalty Program,Multiple Tier Program,多等级积分方案
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py +54,Student Address,学生地址
DocType: Purchase Invoice,Price List Exchange Rate,价格表汇率
apps/erpnext/erpnext/buying/page/purchase_analytics/purchase_analytics.js +116,All Supplier Groups,所有供应商
DocType: Employee Boarding Activity,Required for Employee Creation,必做任务(创建新员工时)
apps/erpnext/erpnext/accounts/doctype/account/account.py +209,Account Number {0} already used in account {1},已在科目{1}中使用的科目代码{0}
DocType: GoCardless Mandate,Mandate,要求
DocType: POS Profile,POS Profile Name,POS配置文件名称
DocType: Hotel Room Reservation,Booked,已预订
DocType: Detected Disease,Tasks Created,创建的任务
DocType: Purchase Invoice Item,Rate,单价
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +107,Intern,实习生
DocType: Delivery Stop,Address Name,地址名称
DocType: Stock Entry,From BOM,基于物料清单
DocType: Assessment Code,Assessment Code,评估准则
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +76,Basic,基本
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py +94,Stock transactions before {0} are frozen,早于{0}的库存事务已冻结
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +219,Please click on 'Generate Schedule',请点击“生成表”
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +154,Reference No is mandatory if you entered Reference Date,如果输入参考日期，参考编号是强制输入的
DocType: Bank Reconciliation Detail,Payment Document,付款单据
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_criteria/supplier_scorecard_criteria.py +37,Error evaluating the criteria formula,评估标准公式时出错
apps/erpnext/erpnext/hr/doctype/employee/employee.py +125,Date of Joining must be greater than Date of Birth,入职日期必须大于出生日期
DocType: Subscription,Plans,计划
DocType: Salary Slip,Salary Structure,薪资结构
DocType: Account,Bank,银行
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +9,Airline,航空公司
apps/erpnext/erpnext/stock/doctype/material_request/material_request.js +815,Issue Material,发料
apps/erpnext/erpnext/config/integrations.py +32,Connect Shopify with ERPNext,将Shopify与ERPNext连接
DocType: Material Request Item,For Warehouse,仓库
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.py +47,Delivery Notes {0} updated,已更新出货单{0}
DocType: Employee,Offer Date,录用日期
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.py +33,Quotations,报价
apps/erpnext/erpnext/accounts/page/pos/pos.js +744,You are in offline mode. You will not be able to reload until you have network.,您在离线模式。您将无法重新加载，直到你有网络。
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.js +90,Grant,格兰特
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py +47,No Student Groups created.,未创建班级。
DocType: Purchase Invoice Item,Serial No,序列号
apps/erpnext/erpnext/hr/doctype/loan/loan.py +129,Monthly Repayment Amount cannot be greater than Loan Amount,每月还款额不能超过贷款金额较大
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +143,Please enter Maintaince Details first,请先输入客户拜访（维护）信息
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +59,Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,行＃{0}：预计交货日不能早于采购订单日
DocType: Purchase Invoice,Print Language,打印语言
DocType: Salary Slip,Total Working Hours,总工时
DocType: Sales Invoice,Customer PO Details,客户PO详细信息
DocType: Stock Entry,Including items for sub assemblies,包括下层组件物料
DocType: Opening Invoice Creation Tool Item,Temporary Opening Account,临时开账科目
apps/erpnext/erpnext/accounts/page/pos/pos.js +1981,Enter value must be positive,输入值必须为正
DocType: Asset,Finance Books,账簿
DocType: Employee Tax Exemption Declaration Category,Employee Tax Exemption Declaration Category,员工免税申报类别
apps/erpnext/erpnext/accounts/doctype/sales_invoice/pos.py +448,All Territories,所有区域
apps/erpnext/erpnext/hr/utils.py +215,Please set leave policy for employee {0} in Employee / Grade record,请在员工/成绩记录中为员工{0}设置休假政策
apps/erpnext/erpnext/public/js/controllers/transaction.js +1373,Invalid Blanket Order for the selected Customer and Item,无效框架订单对所选客户和物料无效
apps/erpnext/erpnext/projects/doctype/task/task_tree.js +49,Add Multiple Tasks,添加多个任务
DocType: Purchase Invoice,Items,物料
apps/erpnext/erpnext/crm/doctype/contract/contract.py +38,End Date cannot be before Start Date.,结束日期不能早于开始日期。
apps/erpnext/erpnext/education/doctype/program_enrollment/program_enrollment.py +33,Student is already enrolled.,学生已经注册。
DocType: Fiscal Year,Year Name,年度名称
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py +321,There are more holidays than working days this month.,本月假期比工作日多。
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py +101,PDC/LC Ref,部分支付参考号码
DocType: Production Plan Item,Product Bundle Item,产品组合物料
DocType: Sales Partner,Sales Partner Name,销售合作伙伴名称
apps/erpnext/erpnext/hooks.py +140,Request for Quotations,索取报价
DocType: Payment Reconciliation,Maximum Invoice Amount,最大发票金额
DocType: Normal Test Items,Normal Test Items,正常测试物料
DocType: Additional Salary,Overwrite Salary Structure Amount,覆盖薪资结构金额
DocType: Student Language,Student Language,学生语言
apps/erpnext/erpnext/config/selling.py +23,Customers,客户
DocType: Cash Flow Mapping,Is Working Capital,是营运资本
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py +24,Order/Quot %,订单/报价％
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py +24,Order/Quot %,订单/报价％
apps/erpnext/erpnext/config/healthcare.py +25,Record Patient Vitals,记录患者维生素
DocType: Fee Schedule,Institution,公司
DocType: Asset,Partially Depreciated,部分折旧
DocType: Issue,Opening Time,问题提交时间
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py +97,From and To dates required,必须指定起始和结束日期
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +46,Securities & Commodity Exchanges,证券及商品交易
apps/erpnext/erpnext/stock/doctype/item/item.py +740,Default Unit of Measure for Variant '{0}' must be same as in Template '{1}',实物料号的默认单位“{0}”必须与模板物料默认单位一致“{1}”
DocType: Shipping Rule,Calculate Based On,计算基于
DocType: Contract,Unfulfilled,未履行
DocType: Delivery Note Item,From Warehouse,发料仓
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py +64,No employees for the mentioned criteria,没有符合条件的员工
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js +1012,No Items with Bill of Materials to Manufacture,无定义了物料清单的待生产物料
DocType: Shopify Settings,Default Customer,默认客户
DocType: Warranty Claim,SER-WRN-.YYYY.-,SER-WRN-.YYYY.-
DocType: Assessment Plan,Supervisor Name,主管名称
DocType: Healthcare Settings,Do not confirm if appointment is created for the same day,不要确认是否在同一天创建预约
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py +264,Ship To State,送到州
DocType: Program Enrollment Course,Program Enrollment Course,课程分类注册课程
apps/erpnext/erpnext/healthcare/doctype/healthcare_practitioner/healthcare_practitioner.py +59,User {0} is already assigned to Healthcare Practitioner {1},用户{0}已分配给Healthcare Practitioner {1}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js +187,Make Sample Retention Stock Entry,创建留存样品库存移动记录
DocType: Purchase Taxes and Charges,Valuation and Total,成本价与总计
DocType: Leave Encashment,Encashment Amount,折现金额
apps/erpnext/erpnext/buying/doctype/supplier_scorecard/supplier_scorecard_dashboard.py +11,Scorecards,记分卡
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js +159,Expired Batches,过期批号
DocType: Employee,This will restrict user access to other employee records,这将限制用户访问其他员工记录
DocType: Tax Rule,Shipping City,市（出货）
DocType: Delivery Note,Ship,船
DocType: Staffing Plan Detail,Current Openings,当前空缺
DocType: Notification Control,Customize the Notification,自定义通知
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py +78,Cash Flow from Operations,运营现金流
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py +313,CGST Amount,CGST金额
DocType: Purchase Invoice,Shipping Rule,配送规则
DocType: Patient Relation,Spouse,伴侣
DocType: Lab Test Groups,Add Test,添加测试
DocType: Manufacturer,Limited to 12 characters,限12个字符
DocType: Journal Entry,Print Heading,打印标题
apps/erpnext/erpnext/config/stock.py +149,Delivery Trip service tours to customers.,配送至客户。
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.py +57,Total cannot be zero,总分数不能为零
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py +16,'Days Since Last Order' must be greater than or equal to zero,“ 最后的订单到目前的天数”必须大于或等于零
DocType: Plant Analysis Criteria,Maximum Permissible Value,最大允许值
